Geography,Crime Category,Financial Year,Count
ZA,Contact Crimes,2011/2012,615935
ZA,Contact Crimes,2012/2013,608724
ZA,Contact Crimes,2013/2014,611574
ZA,Contact Crimes,2014/2015,616973
ZA,Contact Crimes,2015/2016,623223
ZA,Contact Crimes,2016/2017,608321
ZA,Contact Crimes,2017/2018,601366
ZA,Contact Crimes,2018/2019,617210
ZA,Contact Crimes,2019/2020,621282
ZA,Contact Crimes,2020/2021,535217
ZA,Contact Crimes,2021/2022,607163
ZA,Contact Crimes,2022/2023,653659
ZA,Sexual Offences,2011/2012,60539
ZA,Sexual Offences,2012/2013,60888
ZA,Sexual Offences,2013/2014,56680
ZA,Sexual Offences,2014/2015,53617
ZA,Sexual Offences,2015/2016,51895
ZA,Sexual Offences,2016/2017,49660
ZA,Sexual Offences,2017/2018,50108
ZA,Sexual Offences,2018/2019,52420
ZA,Sexual Offences,2019/2020,53293
ZA,Sexual Offences,2020/2021,46214
ZA,Sexual Offences,2021/2022,52694
ZA,Sexual Offences,2022/2023,53888
ZA,Aggravated Robberies,2011/2012,100769
ZA,Aggravated Robberies,2012/2013,105488
ZA,Aggravated Robberies,2013/2014,118963
ZA,Aggravated Robberies,2014/2015,129045
ZA,Aggravated Robberies,2015/2016,132527
ZA,Aggravated Robberies,2016/2017,140956
ZA,Aggravated Robberies,2017/2018,138364
ZA,Aggravated Robberies,2018/2019,140032
ZA,Aggravated Robberies,2019/2020,143990
ZA,Aggravated Robberies,2020/2021,119841
ZA,Aggravated Robberies,2021/2022,64759
ZA,Aggravated Robberies,2022/2023,68015
ZA,Other Serious Crimes,2011/2012,528296
ZA,Other Serious Crimes,2012/2013,517252
ZA,Other Serious Crimes,2013/2014,510748
ZA,Other Serious Crimes,2014/2015,499698
ZA,Other Serious Crimes,2015/2016,479075
ZA,Other Serious Crimes,2016/2017,469276
ZA,Other Serious Crimes,2017/2018,438113
ZA,Other Serious Crimes,2018/2019,444447
ZA,Other Serious Crimes,2019/2020,426569
ZA,Other Serious Crimes,2020/2021,354566
ZA,Other Serious Crimes,2021/2022,393821
ZA,Other Serious Crimes,2022/2023,437038
ZA,Contact Related Crimes,2011/2012,125903
ZA,Contact Related Crimes,2012/2013,124691
ZA,Contact Related Crimes,2013/2014,123441
ZA,Contact Related Crimes,2014/2015,125789
ZA,Contact Related Crimes,2015/2016,124804
ZA,Contact Related Crimes,2016/2017,120730
ZA,Contact Related Crimes,2017/2018,115361
ZA,Contact Related Crimes,2018/2019,117172
ZA,Contact Related Crimes,2019/2020,112244
ZA,Contact Related Crimes,2020/2021,102269
ZA,Contact Related Crimes,2021/2022,117505
ZA,Contact Related Crimes,2022/2023,118816
ZA,Property Related Crimes,2011/2012,530624
ZA,Property Related Crimes,2012/2013,558334
ZA,Property Related Crimes,2013/2014,558228
ZA,Property Related Crimes,2014/2015,553487
ZA,Property Related Crimes,2015/2016,543524
ZA,Property Related Crimes,2016/2017,540653
ZA,Property Related Crimes,2017/2018,507975
ZA,Property Related Crimes,2018/2019,495161
ZA,Property Related Crimes,2019/2020,469224
ZA,Property Related Crimes,2020/2021,369745
ZA,Property Related Crimes,2021/2022,362274
ZA,Property Related Crimes,2022/2023,377690
ZA,Crimes Detected as a Result of Police Action,2011/2012,262726
ZA,Crimes Detected as a Result of Police Action,2012/2013,296734
ZA,Crimes Detected as a Result of Police Action,2013/2014,350403
ZA,Crimes Detected as a Result of Police Action,2014/2015,356919
ZA,Crimes Detected as a Result of Police Action,2015/2016,355926
ZA,Crimes Detected as a Result of Police Action,2016/2017,390021
ZA,Crimes Detected as a Result of Police Action,2017/2018,433966
ZA,Crimes Detected as a Result of Police Action,2018/2019,339281
ZA,Crimes Detected as a Result of Police Action,2019/2020,290176
ZA,Crimes Detected as a Result of Police Action,2020/2021,177095
ZA,Crimes Detected as a Result of Police Action,2021/2022,204990
ZA,Crimes Detected as a Result of Police Action,2022/2023,228983